trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-114.84344196689705,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-222.36486812344785,"{0: 10, 1: 3, 2: 8, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-93.60290914618844,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-41.402126161499744,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,1,-33.40382259404372,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-107.12450046604442,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,4,-35.979153127973255,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-41.542700831720865,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-55.30871881972699,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,11,-78.9903309685679,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-93.04719313580432,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,2.245887728864158,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,5.912812509525404,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,11,-28.745064327289555,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,10,-6.748571693446847,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,14,11.186282858004093,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,14.180103812322436,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,14,11.089671912806157,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,6,13.123225417755975,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,17.95727704149922,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,19.176740341261386,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,23.543338434751682,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,7.8637845877790316,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,23.704685473968183,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,20,16.20206059258113,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,20.766574312083446,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,12,22.43776237128149,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,13,36.171751903727355,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,12,18.825412796349912,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,15,29.028579507041492,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
