trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.98062860237312,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-72.49209099779469,"{0: 22, 1: 5, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.4718876289361,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.74003844038371,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,11,-86.39684873281828,"{0: 6, 1: 3, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.17330761439491,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.81640528884412,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.12963236312697,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.8194276472373,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.81388380923225,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.42959578856818,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.23166098488724,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-164.6012610091635,"{0: 21, 1: 2, 2: 10, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.994587885938,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.64071761746511,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.34625326944443,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.22646730927129,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.02660804561293,"{0: 17, 1: 7, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.10285194907536,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.84288536835123,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,1,-128.46060978747164,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-221.37234643352485,"{0: 13, 1: 9, 2: 3, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-128.3921567503231,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.0164645235538,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,2,-53.66675998710991,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.62976383478176,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.315301875810626,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.7752225377088,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.5684531366125,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.09519030361642,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
